name,id,type,organisation,author,author_email,maintainer,maintainer_email,notes,updated
"2013 Mid year population estimates for Trafford LSOAs by single year of age, all people",49ffcf5f-4840-4138-8f0f-808f9c1580e0,dataset,Trafford Innovation and Intelligence Lab,,,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Lower Layer Super Output Areas
Super Output Areas (SOAs) form a geographic hierarchy designed to improve the reporting of small area statistics in England and Wales. Lower Layer Super Output Areas (LSOAs) are built from 
groups of 2011 Census Output Areas (OAs), typically 4 to 6, and designed to have a population of between 1,000 and 3,000 persons. These LSOAs nest within Middle Layer Super 
Output Areas (MSOAs), there are typically 4 to 5 LSOAs within a MSOA.

There are 34,753 LSOAs in England and Wales (32,844 in England, 1,909 in Wales) and they were generated by a computer programme which merged OAs taking into account measures of 
population size, mutual proximity and social homogeneity. These boundaries have been revised following the results of the 2011 Census and were released to the public in October 2012.

Notes and Definitions
1. These figures are consistent with the published mid-2013 local authority population estimates (MYE7PE2). Please note that MYE7PE2 includes an error in the distribution of the foreign 
    armed forces (FAF) special population that impacts on the estimates for a number of local authorities, most notably Forest Heath. Small areas within the affected local authorities, included 
    in this release, will also reflect this error. Further details are available in the 
2. The Small Area Population Estimates (including estimates for LSOAs, MSOAs, Wards, Parliamentary Constituencies, PCOs, CCGs and National Parks) were initially intended for publication 
    by five year age group and sex.  The more detailed estimates provided here are intended to enable and encourage further analysis and use of the estimates. Particular caution should be 
    exercised in using estimates at a greater level of disaggregation - for example, for Output Areas, or for single year of age groups, as these would not be expected to have the same level of 
    accuracy as the aggregated estimates.
3. The estimated resident population of an area includes all those people who usually live there, regardless of nationality.  Arriving international migrants are included in the usually resident 
    population if they remain in the UK for at least a year.   Emigrants are excluded if they remain outside the UK for at least a year.   This is consistent with the United Nations definition of a 
    long-term migrant.  Armed forces stationed outside of the UK are excluded.  Students are taken to be usually resident at their term time address.
4. These estimates are subject to statistical disclosure control. The general application of statistical disclosure control ensures that information attributable to an individual or organisation is not 
    disclosed in any publication.
5. Note that age 90 comprises data for ages 90 and above.
6. Further advice on the appropriate use of these data can be obtained by emailing pop.info@ons.gsi.gov.uk or phoning +44 (0) 1329 444661 and asking to speak to a statistician.

Terms and Conditions
1. All material on the Office for National Statistics (ONS) website is subject to Crown Copyright protection unless otherwise indicated.
2. Under the terms of the Open Government Licence (OGL) and UK Government Licensing Framework, anyone wishing to use or re-use ONS material, whether commercially or privately, 
    may do so freely without a specific application for a licence, subject to the conditions of the OGL and the Framework.  
    Further information on the OGL and UK Government Licensing Framework are available from 
    by emailing psi@nationalarchives.gsi.gov.uk 
    Users reproducing ONS content without adaptation should include a source accreditation to ONS: Source: Office for National Statistics licensed under the Open Government Licence v.1.0.
    Users reproducing ONS content which is adapted should include a source accreditation to ONS: Adapted from data from the Office for National Statistics licensed under 
    the Open Government Licence v.1.0.
    Please note that the ONS logo must not be reproduced unless permission is sought. If you would like permission to reproduce the logo, please contact us. 
3. The Information is licensed 'as is' and the information provider excludes all representations, warranties, obligations and liabilities in relation to the Information to the maximum extent permitted
     by law. The Information Provider does not guarantee the continued supply of the information.
4. This licence is covered by the laws of England and Wales.              

Source: Small Area Population Estimates, Office for National Statistics  © Crown Copyright 2014

Data supplier:
Population Estimates Unit
Population Statistics Division
Office for National Statistics
Segensworth Road
FAREHAM
PO15 5RR
",2015-04-23
"2013 Mid year population estimates for Trafford LSOAs by single year of age, males",9a051552-72b5-4251-9603-699d76ad731c,dataset,Trafford Innovation and Intelligence Lab,,,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Lower Layer Super Output Areas Super Output Areas (SOAs) form a geographic hierarchy designed to improve the reporting of small area statistics in England and Wales. Lower Layer Super Output Areas (LSOAs) are built from groups of 2011 Census Output Areas (OAs), typically 4 to 6, and designed to have a population of between 1,000 and 3,000 persons. These LSOAs nest within Middle Layer Super Output Areas (MSOAs), there are typically 4 to 5 LSOAs within a MSOA. 

There are 34,753 LSOAs in England and Wales (32,844 in England, 1,909 in Wales) and they were generated by a computer programme which merged OAs taking into account measures of population size, mutual proximity and social homogeneity. These boundaries have been revised following the results of the 2011 Census and were released to the public in October 2012. 

Notes and Definitions 1. These figures are consistent with the published mid-2013 local authority population estimates (MYE7PE2). Please note that MYE7PE2 includes an error in the distribution of the foreign armed forces (FAF) special population that impacts on the estimates for a number of local authorities, most notably Forest Heath. Small areas within the affected local authorities, included in this release, will also reflect this error. Further details are available in the 2. The Small Area Population Estimates (including estimates for LSOAs, MSOAs, Wards, Parliamentary Constituencies, PCOs, CCGs and National Parks) were initially intended for publication by five year age group and sex. The more detailed estimates provided here are intended to enable and encourage further analysis and use of the estimates. Particular caution should be exercised in using estimates at a greater level of disaggregation - for example, for Output Areas, or for single year of age groups, as these would not be expected to have the same level of accuracy as the aggregated estimates. 3. The estimated resident population of an area includes all those people who usually live there, regardless of nationality. Arriving international migrants are included in the usually resident population if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year. This is consistent with the United Nations definition of a long-term migrant. Armed forces stationed outside of the UK are excluded. Students are taken to be usually resident at their term time address. 4. These estimates are subject to statistical disclosure control. The general application of statistical disclosure control ensures that information attributable to an individual or organisation is not disclosed in any publication. 5. Note that age 90 comprises data for ages 90 and above. 6. Further advice on the appropriate use of these data can be obtained by emailing pop.info@ons.gsi.gov.uk or phoning +44 (0) 1329 444661 and asking to speak to a statistician. 

Terms and Conditions 1. All material on the Office for National Statistics (ONS) website is subject to Crown Copyright protection unless otherwise indicated. 2. Under the terms of the Open Government Licence (OGL) and UK Government Licensing Framework, anyone wishing to use or re-use ONS material, whether commercially or privately, may do so freely without a specific application for a licence, subject to the conditions of the OGL and the Framework.
 Further information on the OGL and UK Government Licensing Framework are available from by emailing psi@nationalarchives.gsi.gov.uk Users reproducing ONS content without adaptation should include a source accreditation to ONS: Source: Office for National Statistics licensed under the Open Government Licence v.1.0. Users reproducing ONS content which is adapted should include a source accreditation to ONS: Adapted from data from the Office for National Statistics licensed under the Open Government Licence v.1.0. Please note that the ONS logo must not be reproduced unless permission is sought. If you would like permission to reproduce the logo, please contact us. 3. The Information is licensed 'as is' and the information provider excludes all representations, warranties, obligations and liabilities in relation to the Information to the maximum extent permitted by law. The Information Provider does not guarantee the continued supply of the information. 4. This licence is covered by the laws of England and Wales.








Source: Small Area Population Estimates, Office for National Statistics © Crown Copyright 2014 

Data supplier: Population Estimates Unit Population Statistics Division Office for National Statistics Segensworth Road FAREHAM PO15 5RR 
",2015-04-23
"2013 Mid year population estimates for Trafford LSOAs by single year of age, females",22207c44-866b-4d7c-9c3d-293288cc7a0c,dataset,Trafford Innovation and Intelligence Lab,,,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Lower Layer Super Output Areas Super Output Areas (SOAs) form a geographic hierarchy designed to improve the reporting of small area statistics in England and Wales. Lower Layer Super Output Areas (LSOAs) are built from groups of 2011 Census Output Areas (OAs), typically 4 to 6, and designed to have a population of between 1,000 and 3,000 persons. These LSOAs nest within Middle Layer Super Output Areas (MSOAs), there are typically 4 to 5 LSOAs within a MSOA. 

There are 34,753 LSOAs in England and Wales (32,844 in England, 1,909 in Wales) and they were generated by a computer programme which merged OAs taking into account measures of population size, mutual proximity and social homogeneity. These boundaries have been revised following the results of the 2011 Census and were released to the public in October 2012. 

Notes and Definitions 1. These figures are consistent with the published mid-2013 local authority population estimates (MYE7PE2). Please note that MYE7PE2 includes an error in the distribution of the foreign armed forces (FAF) special population that impacts on the estimates for a number of local authorities, most notably Forest Heath. Small areas within the affected local authorities, included in this release, will also reflect this error. Further details are available in the 2. The Small Area Population Estimates (including estimates for LSOAs, MSOAs, Wards, Parliamentary Constituencies, PCOs, CCGs and National Parks) were initially intended for publication by five year age group and sex. The more detailed estimates provided here are intended to enable and encourage further analysis and use of the estimates. Particular caution should be exercised in using estimates at a greater level of disaggregation - for example, for Output Areas, or for single year of age groups, as these would not be expected to have the same level of accuracy as the aggregated estimates. 3. The estimated resident population of an area includes all those people who usually live there, regardless of nationality. Arriving international migrants are included in the usually resident population if they remain in the UK for at least a year. Emigrants are excluded if they remain outside the UK for at least a year. This is consistent with the United Nations definition of a long-term migrant. Armed forces stationed outside of the UK are excluded. Students are taken to be usually resident at their term time address. 4. These estimates are subject to statistical disclosure control. The general application of statistical disclosure control ensures that information attributable to an individual or organisation is not disclosed in any publication. 5. Note that age 90 comprises data for ages 90 and above. 6. Further advice on the appropriate use of these data can be obtained by emailing pop.info@ons.gsi.gov.uk or phoning +44 (0) 1329 444661 and asking to speak to a statistician. 

Terms and Conditions 1. All material on the Office for National Statistics (ONS) website is subject to Crown Copyright protection unless otherwise indicated. 2. Under the terms of the Open Government Licence (OGL) and UK Government Licensing Framework, anyone wishing to use or re-use ONS material, whether commercially or privately, may do so freely without a specific application for a licence, subject to the conditions of the OGL and the Framework. Further information on the OGL and UK Government Licensing Framework are available from by emailing psi@nationalarchives.gsi.gov.uk Users reproducing ONS content without adaptation should include a source accreditation to ONS: Source: Office for National Statistics licensed under the Open Government Licence v.1.0. Users reproducing ONS content which is adapted should include a source accreditation to ONS: Adapted from data from the Office for National Statistics licensed under the Open Government Licence v.1.0. Please note that the ONS logo must not be reproduced unless permission is sought. If you would like permission to reproduce the logo, please contact us. 3. The Information is licensed 'as is' and the information provider excludes all representations, warranties, obligations and liabilities in relation to the Information to the maximum extent permitted by law. The Information Provider does not guarantee the continued supply of the information. 4. This licence is covered by the laws of England and Wales. 

Source: Small Area Population Estimates, Office for National Statistics © Crown Copyright 2014 

Data supplier: Population Estimates Unit Population Statistics Division Office for National Statistics Segensworth Road FAREHAM PO15 5RR 
",2015-04-23
Metrolink Station Facilities,ba926378-6842-4423-8274-e546aadd58a5,dataset,Transport for Greater Manchester,,,Michelle Peel,opendata@tfgm.com ,,2015-03-20
Bury Supplier Spend December 2010,c61381eb-1d58-40a0-a7ec-93154a6583b7,dataset,Bury Metropolitan Borough Council ,mailto:corporateprocurement@bury.gov.uk,mailto:corporateprocurement@bury.gov.uk,NA,NA,Supplier Spend 500+,2015-03-18
Bury Supplier Spend January 2011,96d1a36a-06dc-4906-8e1e-7d0139d87977,dataset,Bury Metropolitan Borough Council ,mailto:corporateprocurement@bury.gov.uk,mailto:corporateprocurement@bury.gov.uk,mailto:corporateprocurement@bury.gov.uk,NA,Supplier Spend 500+,2015-03-18
Bury Supplier Spend November 2010,26eb15f1-d7cd-42e3-a3f9-343cd06b3e56,dataset,Bury Metropolitan Borough Council ,mailto:corporateprocurement@bury.gov.uk,mailto:corporateprocurement@bury.gov.uk,mailto:corporateprocurement@bury.gov.uk,NA,Supplier Spend 500+,2015-03-18
Polling Stations in Greater Manchester,a73d4a38-0fa3-4568-8390-b4503b1a73ad,dataset,Trafford Innovation and Intelligence Lab,Jamie Whyte,jamie.whyte@trafford.gov.uk,,,"Polling stations in Greater Manchester for 2015 elections, with address, postcode, and lat long of postcode centroid.",2015-03-18
Trafford Premises Licence Data,ef2dba57-3f44-4451-94c7-a84842e729b5,dataset,Trafford Council,Paul Westland,paul.westland@trafford.gov.uk,,,A dataset containing licences held by Trafford businesses,2015-03-17
Polling Stations Trafford,0b8d5b81-9b6d-41b2-a4e7-81d5d13741aa,dataset,Trafford Council,NA,NA,NA,NA,Location of Polling Stations in Trafford,2015-03-05
Trafford Council Ward Boundaries,3ee4c737-db72-4930-90e2-8da2d4d1ad3e,dataset,Trafford Council,Trafford Council,NA,NA,NA,Electroral wards within the Borough of Trafford. Information on the definition and coding of these wards together with mapping data to define the area covered.,2015-03-03
Ward Boundaries,faa747bc-9761-4d68-b1a5-8cf4b166d244,dataset,Greater Manchester,Jamie Whyte,jamie.whyte@trafford.gov.uk,NA,NA,NA,2015-03-02
DfT RoadSafety Accidents 2006 GM Subset,9962b182-b500-4616-93b2-4880a14b6a23,dataset,Open Data Manchester,Julian Tait,julian@opendatamanchester.org.uk,NA,NA,"This file provides detailed data about the circumstances of personal injury road accidents in Greater Manchester in 2006, the types of vehicles involved and the consequential casualties. The statistics relate only to personal injury accidents on public roads that are reported to the police, and subsequently recorded, using the STATS19 accident reporting form.",2015-02-26
Park Lights,aa812cca-35fc-4def-b78a-d3dd91198284,dataset,Trafford Innovation and Intelligence Lab,Jamie Whyte,jamie.whyte@trafford.gov.uk,,,Locations of Trafford Council-maintained lights in parks,2015-02-13
Stockport Supplier Spend January 2011,2a110928-4cdb-4db1-856d-e98bf0a82496,dataset,Stockport Metropolitan Borough Council,http://www.stockport.gov.uk/services/councildemocracy/yourcouncil/documentsandfacts/budgetsfinancialmonitoringreports/procurementteam,http://www.stockport.gov.uk/services/councildemocracy/yourcouncil/documentsandfacts/budgetsfinancialmonitoringreports/procurementteam,NA,NA,Supplier Spend 500+,2015-02-05
Transparency Code - Trafford (link),07587509-9395-415b-8dc2-d94f2448db51,dataset,Trafford Innovation and Intelligence Lab,,,,,Link to Trafford Council's Transparency code data,2015-01-31
Businesses Registered in Trafford,f5865a84-4fc8-42b2-95fc-2835e9f97a83,dataset,Trafford Innovation and Intelligence Lab,Jamie Whyte,jamie.whyte@trafford.gov.uk,,,Extract of Companies House open data containing only Trafford businesses.,2015-01-16
Metroshuttle vehicles,5ba823f1-a19b-424b-a81f-f720c9fe558b,dataset,Transport for Greater Manchester,,,Michelle Peel,opendata@tfgm.com ,"This file provides information to uniquely identify vehicles operating the Manchester and Stockport Metroshuttle bus services and the route they operate on (i.e. Service number).

Does NOT include Bolton Metroshuttle vehicles, yellow school buses or other Actia equipped vehicles.

This dataset is available from the data.gov.uk website. ",2014-12-24
TfGM Supplier Spend over £500,162a57a9-5646-4ed9-9185-e677f9b4bfb2,dataset,Transport for Greater Manchester,Transport for Greater Manchester,opendata@tfgm.com,Michelle Peel,,"As part of its commitment to transparency, Transport for Greater Manchester have been publishing information on payments since January 2010. 

The reports on this page contain details of individual invoice payments made to external bodies and suppliers with a value of £500 or over (exclusive of VAT). The reports are prepared on a quarterly basis. 

This dataset is available from the data.gov.uk website.",2014-12-24
Library Loans by category,712340df-43a8-4985-8bc6-2c4e32ea5a84,dataset,Trafford Council,Jamie Whyte,jamie.whyte@trafford.gov.uk,Jamie Whyte,jamie.whyte@trafford.gov.uk,"Library loans from Trafford libraries by category (adult fiction, adult non-fiction, talking book, junior, etc)",2014-12-19
Manchester Volunteer Centre Statistics,abcc6630-062d-40a8-bebf-bcbb9b8c0023,dataset,Macc,Macc,data@macc.org.uk,Macc open data team,data@macc.org.uk,Quarterly statistics on the volunteers registered with the Volunteer Centre.,2014-11-01
Macc Grants programmes statistics,bc9f88d7-b8ea-4ad4-9475-70b8fb91b628,dataset,Macc,Macc,data@macc.org.uk,Macc open data team,data@macc.org.uk,Data on our grants awarded,2014-11-01
Manchester Community Central groups statistics,224084b4-ce2b-4001-a4a7-cf05c0e0163c,dataset,Macc,Macc,data@macc.org.uk,Macc open data team,data@macc.org.uk,Quarterly statistics on the groups registered with Manchester Community Central,2014-11-01
Manchester State of the Sector survey,f3f4c514-34fd-4047-a43d-ae49d91bcaff,dataset,Macc,Macc,data@macc.org.uk,Macc open data team,data@macc.org.uk,Biannual results from a State of the Sector Survey,2014-11-01
Metroshuttle bus API,4e4dc9a3-8053-4d98-9df0-c0ebe800ea34,dataset,Transport for Greater Manchester,Michelle Peel,opendata@tfgm.com,,,"Realtime location data for the Metroshuttle buses running in Manchester City Centre and Stockport. 

To access the API, users should visit the Transport for Greater Manchester App Developer Portal and register as a user, before then registering their app.

To access each API, please see the TfGM Application Developer Guidelines under the Guidelines tab of the App Developer Portal, and choose the appropriate section.",2014-10-30
Planning Applications,a53672ac-af36-42ea-bfb0-3111acf87bcc,dataset,Manchester City Council ,,,,,Plannning Applications in Manchester 26/02/2014,2014-09-11
Trafford Planning Applications,ce154788-cb3c-4f99-ba18-f484a059d5db,dataset,Trafford Council,Jamie Whyte,jamie.whyte@trafford.gov.uk,,,Planning applications in Trafford. This is the dataset from ~1980 to March 2014 that was used for the Greater Manchester Data Synchronisation Programme,2014-07-23
DfT RoadSafety Accidents 2010 GM Subset,389d8e4c-8274-4056-bf5c-36eb16a181dd,dataset,Open Data Manchester,Julian Tait,julian@opendatamanchester.org.uk,NA,NA,"This file provides detailed data about the circumstances of personal injury road accidents in Greater Manchester in 2010, the types of vehicles involved and the consequential casualties. The statistics relate only to personal injury accidents on public roads that are reported to the police, and subsequently recorded, using the STATS19 accident reporting form.",2014-06-25
DfT RoadSafety Accidents 2005 GM Subset,d61c5430-3f3b-464d-86ac-9dfc3eb5cc1c,dataset,Open Data Manchester,Julian Tait,julian@opendatamanchester.org.uk,NA,NA,"This file provides detailed data about the circumstances of personal injury road accidents in Greater Manchester in 2005, the types of vehicles involved and the consequential casualties. The statistics relate only to personal injury accidents on public roads that are reported to the police, and subsequently recorded, using the STATS19 accident reporting form.",2014-06-13
Streetlights,c6f4fe5d-c47c-4075-b6cb-036ad68d5e6b,dataset,Trafford Council,Jamie Whyte,jamie.whyte@trafford.gov.uk,Jamie Whyte,jamie.whyte@trafford.gov.uk,All geocoded streetlights in Trafford,2014-06-07
Trafford Council Streetlights,a2bbc490-d7e3-411c-abde-90d27e64a39e,dataset,Trafford Council,Trafford Council,webmaster@trafford.gov.uk,webmaster@trafford.gov.uk,webmaster@trafford.gov.uk,"Location of the 27,000 streetlights in Trafford",2014-05-28
NHS North West Spend Data April 2010 to February 2011,891cfe6a-5d38-456c-b1f0-01741ef756f1,dataset,North West Strategic Health Authority ,NA,NA,NA,NA,"Spend over £25,000 by NHS North West covering Primary Care Trusts ",2014-05-22
Highways Trees,ef982966-1361-434c-b04f-11ec6b2815ce,dataset,Trafford Council,Jamie Whyte,jamie.whyte@trafford.gov.uk,NA,NA,Locations and information on highways trees across Greater Manchester,2014-04-01
Fire and Rescue Incidents,8764d5b6-e7ac-4fc4-b7ed-dabb7631423a,dataset,Greater Manchester Fire and Rescue Service ,NA,NA,NA,NA,"This dataset covers incidents attended by fire and rescue services (FRS) in Greater Manchester 

31/08/2012(Jamie Whyte):Updated zip file received from GMFRS, archived old CSV.

31/08/2012(Jamie Whyte):Removed temporal spec, so that multiple years worth of data can be added to this dataset",2014-03-11
Greater Manchester Fire and Rescue Incidents 2012 2013,e15e25c7-f901-40d0-95b4-d157484690ec,dataset,Greater Manchester Fire and Rescue Service ,Mike Baines,,Mike Baines,,All incidents recorded by Greater Manchester Fire and Resce Service in 2012/2013,2014-03-11
OpenStreetMap Data,5b955b38-72a0-4f21-b5f0-7e172cf8ce01,dataset,Greater Manchester,Geofabrik,,,info@geofabrik.de,"All data for Greater Manchester contained on OpenStreetMap is extracted each night, and is available for download and reuse.

Files are very large, and may require specialist software.",2014-01-16
Frequent bus services in GM 2000 - 2011,2089f715-7672-4dec-a31f-865e953c9432,dataset,Transport for Greater Manchester,Craig Berry,craig.berry@tfgm.com,Jamie Whyte,jamie.whyte@trafford.gov.uk,"The number of frequent bus services operating in GM 2000 - 2011. Source: TfGM Bus & Rail. RESTRICTIONS: None

 

",2013-12-11
Accessible Bus Routes,ff508c59-4e22-4e5f-b84b-d45df05bedec,dataset,Transport for Greater Manchester,,,,,,2013-12-11
Childhood Obesity in Trafford,d0fd889f-9fd1-43a4-a896-4b34d0f0bd91,dataset,Trafford Council,Jamie Whyte,jamie.whyte@trafford.gov.uk,Trafford Council,"jamie.whyte@trafford.gov,uk","Childhood obesity is measured in schools in Reception and Year 6. The data here allows exploration of Trafford's childhood obesity levels, as well as access to raw data at as small a level as can be released.",2013-12-10
Households with no car or van,1512170f-0bdb-4530-823d-cc0807c0f6a8,dataset,NA,Office for National Statistics,info@ons.gov.uk,info@ons.gov.uk,NA,NA,2013-12-08
State Pension Claimants GM Wide,63e6b9ac-b695-4793-a401-2dfd46c688cd,dataset,NA,Office for National Statistics,info@ons.gov.uk,info@ons.gov.uk,NA,NA,2013-12-08
Occupancy Rating All Manchester Geography,e07a8fc8-8fa6-43e8-b2d1-f16bff987cf1,dataset,NA,Office for National Statistics,NA,info@ons.gov.uk,NA,NA,2013-12-08
All Full-Time Students Greater Manchester,4d6f9dcf-dc6b-4cf4-b9a3-7cd90df5b18e,dataset,NA,Office for National Statistics,info@ons.gov.uk,info@ons.gov.uk,NA,NA,2013-12-08
State Pension Claimants May 2010,6824d12a-b771-44a5-a426-d15e5dab268b,dataset,NA,Office for National Statistics,info@ons.gov.uk,Office  for National Statistics,info@ons.gov.uk,State pension payments for each Greater Manchester authority May 2010  ,2013-12-08
School Exclusions by Local Authority 2008 to 2009,37d22939-eba8-423c-9392-fd74ad77edff,dataset,NA,Department for Education Department for Business Innovation and Skills,schools.statistics@education.gsi.gov.uk,NA,schools.statistics@education.gsi.gov.uk,Permanent and fixed term exlcusions from schools by local authority and by ethnicity for 2008 to 2009,2013-12-08
Accident and Emergency Attendances April to June 2010,8ea59b26-cc83-415b-a30b-a93ec2b21004,dataset,NA,Department of Health,NA,NA,NA,Accident and Emergency Admissions for each Greater Manchester NHS provider for the April to June 2010,2013-12-08
Accident and Emergency Admissions October to December 2010,1d350ff6-3bd6-4280-a43e-244cec36c06d,dataset,NA,Department of Health,NA,NA,NA,Accident and Emergency admissions for each Greater Manchester provider for October to December 2010,2013-12-08
Municipal Waste For Each Greater Manchester Authority 2009 to 2010,0670329d-1391-4b04-b9c1-bd64d5def69a,dataset,NA,Defra,NA,NA,NA,Household waste for each Greater Manchester local authority for 2009 to 2010,2013-12-08
Accident and Emergency Admissions July to September 2010,4a33a473-d117-4a8d-83e0-bd418660026f,dataset,NA,Department of Health,NA,NA,NA,Accident and Emergency admissions for each Greater Manchester NHS provider for July to September 2010,2013-12-08
Annual Hours Worked Survey 2010-2011,a197f945-4569-463e-9505-e60a59a141d8,dataset,NA,Office for National Statistics,NA,NA,NA,Annual hours worked for 2010-2011,2013-12-08
NHS Waiting Times For Cancer Treatment in Greater Manchester October to December 2010,04d9222d-79da-467b-9135-c4daf0741b8f,dataset,NA,Department of Health,Cancer-waits@dh.gsi.gov.uk,NA,Cancer-waits@dh.gsi.gov.uk,Waiting times in Greater Manchester for cancer treatment for the period October to December 2010,2013-12-08
All Full-Time Students across GM authorities and Trafford Wards,0cc369d0-62c0-452f-bb87-a08aa179644e,dataset,NA,Office for National Statistics,Office for National Statistics,info@statistics.gov.uk.,NA,Full time Students ,2013-12-08
Census 2001 Age of Population,b93489b4-f98c-4757-a064-b8b9b237be07,dataset,NA,Office for National Statistics,NA,NA,NA,NA,2013-12-08
Census 2001 Country of Birth,c43137a4-a5f3-482c-98f9-622a9f2d3870,dataset,NA,ONS,NA,NA,NA,NA,2013-12-08
Census 2001 Students and Schoolchildren Living Away During Term Time,65951b53-735c-4a24-a551-8ad8f429ff79,dataset,NA,ONS,NA,NA,NA,NA,2013-12-08
Census 2001 Provision of Unpaid Care,d77e5093-a305-4152-b0e1-c2e9ac4ed28c,dataset,NA,ONS,NA,NA,NA,NA,2013-12-08
Census 2001 Socio-Economic Classification Workplace Population,bb2ddb9d-ddac-4dcd-ae87-15248729e8c3,dataset,NA,ONS,NA,NA,NA,NA,2013-12-08
Census 2001 Spaces Accommodation Type,f2eba215-a76c-451b-8a3c-51fb6a876e06,dataset,NA,ONS,NA,NA,NA,NA,2013-12-08
Census 2001 Tenure Pensioners,cdbe66b7-9e1f-43bd-b7d7-f62dae4e7da6,dataset,NA,ONS,NA,NA,NA,NA,2013-12-08
Births and Mortality in Trafford 2005,c4e06fb0-5bb2-4dc1-aa28-89bf0d5be08a,dataset,NA,Office for National Statistics,NA,NA,NA,NA,2013-12-08
Births and Mortality Trafford 2006,0b89d351-ab23-42f8-97eb-441c2072f77d,dataset,NA,Office for National Statistics,NA,NA,NA,NA,2013-12-08
Census 2001 Age of Workplace Population,3b7c2b74-d353-4263-b124-0a527ba97b2f,dataset,NA,ONS,NA,NA,NA,The workplace population is defined as the people aged 16 to 74 who are in employment and whose usual place of work is in the area.,2013-12-08
Census 2001 Single Adult Households,3d500146-4a28-4a77-9fc9-942baeb93172,dataset,NA,ONS,NA,NA,NA,"Number of adults aged 18 to 64 who live in single adult households, from 2001 Census. ",2013-12-08
Census 2001 Dependent Children,d89f044e-c694-4fb9-b532-0dfcac2a9c78,dataset,NA,ONS,NA,NA,NA,This dataset shows the number of households with dependent children.,2013-12-08
Census 2001 Limiting Long-term Illness and Dependent Children,fd1352a9-fe8f-4b7e-83fd-ede3121e4ffc,dataset,NA,ONS,NA,NA,NA,"Number of households where a resident has a limiting long term illness and dependent children.

A dependent child is a person in a household aged 0 -15 (whether or not in a family) or a person aged   16 - 18 who is a full-time student in a family with parent(s).",2013-12-08
Census 2001 NSSeC of Household Reference Person,808505de-3a8a-4d1a-883d-5a5c0b618b7a,dataset,NA,ONS,NA,NA,NA,"This dataset shows the number of households by the NS-SEC of the Household Reference Person (also known as HRP). 

NS-SEC is an occupationally based classification but has rules to provide coverage of the whole adult population. ",2013-12-08
Census Distance Travelled to Work (Workplace Population),48b0b836-7382-4050-88c3-f20b1778a956,dataset,NA,ONS,NA,NA,NA,"The workplace population is defined as the people aged 16 to 74 who are in employment and whose usual place of work is in the area. 

The distance travelled to work is measured in kilometres of a straight line between the residence postcode and the workplace postcode. It is not calculated for people working mainly at or from home, people with no fixed workplace, people working on an off-shore outpost.",2013-12-08
Census Migration People,88830ab9-cb47-48dd-bc70-e567e850a784,dataset,NA,ONS,NA,NA,NA,Number of people who have migrated and within/across what area.,2013-12-08
Census 2001 Industry of Employment,0e85685c-4896-4e31-98a4-b3869c542190,dataset,NA,ONS,NA,NA,NA,Data on the industry of employment of the population of Greater Manchester. It covers the population 'all people aged 16-74 in employment'.,2013-12-08
Census 2001 Industry of Employment Females,7e1188a5-be14-423a-9b65-4a34b882a494,dataset,NA,ONS,NA,NA,NA,Dataset covers the industry of employment for females aged 16-74 that are in employment.,2013-12-08
Census 2001 Limiting Long Term Illness,cdffcd50-f267-4392-b159-d5c39d43a538,dataset,NA,ONS,NA,NA,NA,People with limiting long-term illness.,2013-12-08
Census 2001 Occupancy Rating,672d9f89-b9c7-4f38-91fb-2c2d5fdac769,dataset,NA,ONS,NA,NA,NA,The table shows all households by levels of occupancy rating.,2013-12-08
Census 2001 Household Composition,f1daaebc-7bfd-460b-a14a-2c93f9b6738c,dataset,NA,ONS,NA,NA,NA,This table provides information on the household composition of the population of Greater Manchester.,2013-12-08
Crime Statistics June 2011 (By Street),b7ca7960-50e5-4970-8198-d5206ae78011,dataset,NA,Police UK,NA,Poice UK,NA,Greater Manchester crime statistics by street for June 2011.,2013-12-08
Attacks on Firefighters 2012/13,d4c74928-dd68-42d5-9ddb-6d415f1df6cd,dataset,NA,GMFRS,NA,NA,NA,"This dataset covers attacks on firefighters in Greater Manchester by ward and type during 2012/2013.

31/08/2012(Jame Whyte): Data is currently up to August 2012. Working on regular updates.",2013-12-08
Annual hours worked,0a3e2dd8-ffbc-4e66-96b0-779df3ae842c,dataset,Association of Greater Manchester Authorities,Office for National Statistics,info@statistics.gov.uk ,Office  for National Statistics,info@statistics.gov.uk ,"Results for 2003 and earlier exclude supplementary surveys. In 2006 there						
were a number of methodological changes made. For further details goto :						
http://www.nomisweb.co.uk/articles/341.aspx						
http://www.nomisweb.co.uk/articles/341.aspx						
",2013-12-08
Attacks on Firefighters,85871ed5-9b75-4328-b95a-46c130170e49,dataset,Greater Manchester Fire and Rescue Service ,NA,NA,NA,NA,"This dataset covers attacks on firefighters in Greater Manchester by ward and type

31/08/2012(Jamie Whyte): Removed temporal spec to allow multiple years' data to be added to this dataset.",2013-12-08
